TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
435000,12500.1325,68037.6109,45071.6019,581.4183,-1194672.7036,68326.6985,0.0000,0.0000,262878.0044,-737277.2370,301.9120,-1000155.2414,-735898.7689,302.4192,51.7443,50.1272,4058602.0290,1.0253,1.0324
440000,12530.2504,68242.5610,45126.4321,613.8932,-1196894.2527,68322.9494,0.0000,0.0000,263474.0273,-738584.1393,302.5966,-1002058.1666,-737227.6841,302.1261,-26.8518,-28.1102,4055713.6153,0.4823,0.4862
445000,12590.2775,68171.8549,45080.5232,619.5452,-1195954.4643,68517.7677,0.0000,0.0000,262979.6720,-737994.8239,302.0288,-1000974.4958,-736635.0309,302.1915,-61.7066,-61.6564,4057360.9143,1.9815,1.9940
450000,12535.4077,68128.1206,45103.2999,597.8239,-1196203.3200,69168.1341,0.0000,0.0000,263384.0417,-737286.4921,302.4932,-1000670.5338,-735896.2355,302.3517,92.8775,92.5639,4057812.9269,1.0994,1.1044
455000,12437.1881,68216.0959,45134.6988,579.1759,-1196246.3822,69078.8812,0.0000,0.0000,263471.5341,-737328.8083,302.5937,-1000800.3424,-735968.8587,302.2528,32.9433,33.2488,4065215.9933,1.3017,1.2970
460000,12448.4667,68195.8228,45246.8065,611.4982,-1196381.3481,68995.8427,0.0000,0.0000,263512.0972,-737370.8141,302.6403,-1000882.9112,-735976.2892,302.5471,46.3784,46.4414,4057801.7312,0.7888,0.7888
465000,12420.8930,68655.5854,45220.7766,603.7639,-1195236.5220,68455.9859,0.0000,0.0000,262815.4940,-737064.0230,301.8402,-999879.5171,-735689.0657,302.5155,-34.5026,-34.6466,4060113.2415,1.5386,1.5348
470000,12536.1645,67942.9347,45078.8624,608.1568,-1196774.0765,68631.3178,0.0000,0.0000,263348.9318,-738627.7086,302.4529,-1001976.6403,-737256.3658,301.8997,-150.2892,-150.5378,4061096.7686,1.5400,1.5402
475000,12520.2177,68080.9714,45142.1264,631.5605,-1195066.3788,67699.7782,0.0000,0.0000,263239.2336,-737752.4910,302.3269,-1000991.7246,-736388.9273,302.4233,-95.1173,-95.3280,4060831.0607,1.3745,1.3826
480000,12327.7529,68364.6787,45192.8069,640.5533,-1196359.6156,68525.1203,0.0000,0.0000,263443.4675,-737865.2359,302.5615,-1001308.7034,-736499.4757,302.0644,20.4520,18.6660,4057631.1994,1.3758,1.3705
485000,12347.0377,67940.9121,45342.1224,572.7364,-1197119.2502,68759.6469,0.0000,0.0000,262953.2532,-739203.5414,301.9985,-1002156.7946,-737835.9346,302.1824,50.7177,50.4250,4051581.8124,0.8602,0.8500
490000,12410.2418,67945.8534,45197.4128,609.7444,-1196613.4738,69238.3295,0.0000,0.0000,263845.8345,-737366.0574,303.0236,-1001211.8919,-735990.5835,302.0706,122.5060,123.6320,4052427.2985,1.1424,1.1428
495000,12375.2021,68217.0863,45147.8977,609.5476,-1197116.0594,69826.7875,0.0000,0.0000,262692.0611,-738247.4771,301.6985,-1000939.5382,-736876.4838,302.2562,185.3376,185.1989,4055938.5917,0.9120,0.9157
500000,12486.6029,68393.5380,45250.2451,638.4802,-1195087.3238,68090.5969,0.0000,0.0000,262982.9750,-737244.8856,302.0326,-1000227.8605,-735869.2405,302.2282,-117.4602,-117.5692,4062383.6861,0.8006,0.7890
0,12486.6029,68393.5380,45250.2451,638.4802,-1195087.3238,68090.5969,0.0000,0.0000,262973.7880,-737254.0725,302.0220,-1000227.8606,-735877.3407,302.0220,-116.7633,-117.5869,4062383.6861,-116.7633,-117.5869
5000,12361.8142,67795.4408,45083.9207,630.5897,-1196710.2031,68395.1336,0.0000,0.0000,262805.7022,-739637.6020,301.8290,-1002443.3042,-738269.8717,302.0726,-63.5092,-63.9494,4053708.1915,0.7616,0.7697
10000,12472.0661,67881.6328,45115.6986,612.0853,-1196279.2114,68515.5920,0.0000,0.0000,262795.5567,-738886.5798,301.8173,-1001682.1365,-737518.5390,302.0376,-69.1414,-69.6241,4055405.6094,1.6221,1.6194
15000,12393.6752,68298.5229,45059.8859,589.9181,-1196032.4905,68183.0087,0.0000,0.0000,263270.4208,-738237.0589,302.3627,-1001507.4797,-736867.4931,302.0769,7.6513,8.2034,4056134.6850,1.1012,1.0925
20000,12534.5557,68048.5085,45118.7530,610.0288,-1195461.1132,67635.5938,0.0000,0.0000,263085.4176,-738428.2557,302.1502,-1001513.6734,-737061.3739,302.2259,-66.7908,-68.7000,4060140.7027,1.1973,1.1915
25000,12470.7116,67770.1019,45287.7286,605.2947,-1195966.2172,68574.4878,0.0000,0.0000,263232.6083,-738025.2843,302.3193,-1001257.8926,-736636.2954,302.0591,-59.6287,-58.7119,4060714.3194,1.3323,1.3282
30000,12379.7962,67673.7943,45131.1009,579.6102,-1197848.6595,69590.6563,0.0000,0.0000,263223.5551,-739270.1464,302.3089,-1002493.7016,-737901.3554,301.9193,68.6132,67.4723,4052933.3191,1.2052,1.2169
35000,12627.0146,68082.1224,45196.9699,608.4165,-1196427.1493,68514.0350,0.0000,0.0000,263014.6479,-738383.9430,302.0690,-1001398.5909,-737039.5700,302.0934,26.9745,27.1739,4053206.6685,0.6280,0.6285
40000,12272.3283,68462.1347,45224.0635,640.0446,-1196426.3704,69126.5841,0.0000,0.0000,262903.5296,-737797.6856,301.9413,-1000701.2153,-736449.8156,302.1886,99.8412,96.6267,4055651.6433,0.5156,0.4952
45000,12520.8420,67959.3997,45294.7290,587.9246,-1196522.0149,69115.9242,0.0000,0.0000,263150.6617,-737892.5337,302.2252,-1001043.1954,-736520.5551,302.2404,-20.7264,-18.8878,4059606.4502,1.1101,1.0944
50000,12392.9316,67722.2186,45121.2087,589.5679,-1195065.1193,68367.2010,0.0000,0.0000,262628.4016,-738243.5900,301.6254,-1000871.9915,-736868.2229,302.2519,-27.7964,-30.2855,4063074.5877,0.4175,0.4121
55000,12437.8556,68051.4435,45186.3148,609.9942,-1195838.9728,68771.6234,0.0000,0.0000,263170.4311,-737611.3102,302.2479,-1000781.7413,-736236.3913,302.4362,-14.2889,-13.3614,4053926.2790,1.5184,1.5181
60000,12476.5390,68117.7201,45156.6838,632.7297,-1196851.2725,68746.9655,0.0000,0.0000,263280.7269,-738439.9075,302.3746,-1001720.6345,-737075.8351,302.3701,26.8593,26.6091,4055808.7471,1.5381,1.5358
65000,12478.9830,68092.6090,45187.4430,599.6159,-1196454.3917,69495.4546,0.0000,0.0000,263298.8955,-737301.3907,302.3954,-1000600.2862,-735946.9521,302.1998,44.2448,46.7583,4058663.5544,1.4025,1.4123
